"ID"	"EUPHEMISM"	"MEANING_IN_CHINESE"	"FIGURATIVE_TYPE"	"EXAMPLE"
"DD-0359"	"神游"	"死亡"	"Metaphor"	"明 · 方孝孺《懿文皇太子挽词》： “神游思下土，经国意难忘。”"
"DD-0360"	"生前"	"死去的人活着的时候"	"Reversal"	"生前留下遗言。(GF 2014)"
"DD-0361"	"升天"	"死亡"	"Metaphor"	"巴金 《雷》：“别人告诉她，死就是升天，她是到天上去了。”"
"DD-0362"	"升西天"	"死亡"	"Metaphor"	"他做和尚却不想升西天，说过‘如人人皆升西天，则西天将人满为患’这样的话。(HDC 2010)"
"DD-0363"	"升遐"	"帝王、帝后的死亡"	"Metaphor"	"《五代史平话：周史：卷上》：“高祖升遐，将太子承佑分付着郭威辅佐。”"
"DD-0364"	"升仙"	"死亡"	"Metaphor"	"前蜀 · 韦庄 《洛阳吟》：“胡骑北来空进主， 汉皇 西去竟昇僊。”"
"DD-0365"	"升驭"	"帝王或后妃之死"	"Metaphor"	"明 · 顾绛 《刘谏议蕡祠》诗：“一自德陵升驭后，山河祠庙总沦倾。”"
"DD-0366"	"逝"	"死"	"Metaphor"	"病逝 (GF 2014)"
"DD-0367"	"失怙"	"丧父"	"Metonymy"	"洪深 《歌女红牡丹》：“ 红牡丹幼年失怙，事母尽孝。”"
"DD-0368"	"示寂"	"佛菩萨及高僧身死"	"Metaphor"	"清 · 钱谦益 《洞闻禅师塔铭》 ： “天启三年七月，洞闻禅师示寂于破山之禅院。”"
"DD-0369"	"尸解"	"死亡"	"Metaphor"	"清 · 《聊斋志异：卷十：恒娘》：“明日老父尸解，妾往省觐，不复还矣。”"
"DD-0370"	"饰巾"	"人死"	"Metonymy"	"清 · 赵翼 《挽唐再可》诗： “方当享大耋，光景日正午。何期遽饰巾，霞飞倏羽化。”"
"DD-0371"	"识灭"	"死亡"	"Metaphor"	"《南齐书：武帝纪》：“我识灭之后，身上著夏衣画天衣，纯乌犀导，应诸器悉不得用宝物及织成等，唯装复裌衣各一通。”"
"DD-0372"	"示灭"	"佛菩萨及高僧坐化身死"	"Metaphor"	"唐 · 黄滔 《华严寺开山始祖碑铭》： “师咸通六年七月五日示灭，寿八十有五。”"
"DD-0373"	"逝没"	"死去"	"Metaphor"	"晋 ·  潘岳 《怀旧赋》：“何逝没之相寻，曾旧草之未异。”"
"DD-0374"	"十生九"	"死"	"Deletion"	"《醒世姻缘传》 第二回： “一帖发丧药下去，这汗还止的住哩？不由的十生九了。”"
"DD-0375"	"逝世"	"死亡"	"Metaphor"	"今年是国父逝世周年纪念日。(GC 2015)"
"DD-0376"	"失恃"	"丧母"	"Metonymy"	"宋 ·  梅尧臣《秀叔头风诗》：“吾儿久失恃，发括仍少栉。”"
"DD-0377"	"收华"	"英年早逝"	"Metaphor "	"南朝 · 宋 · 谢庄 《宋孝武宣贵妃诔》：“掩綵瑶光，收华紫禁。”"
"DD-0378"	"授命"	"献出生命"	"Metaphor"	"对于士大夫，那种临难不苟、见危授命、仗义执言、秉笔直书者，总是被书之竹帛，千古称扬…… (BCC)"
"DD-0379"	"寿终正寝"	"死亡"	"Metaphor"	"他活得很长，最后寿终正寝。[https://www.aoetc.com/115af1.html]"
"DD-0380"	"顺世"	"僧徒逝世"	"Metaphor"	" 钱谦益 《一树斋集序》： “今年春，文孺之徒陈生迪祥偕计吏来北京，携师手书謁余，则师之顺世，又三年矣。”"
"DD-0381"	"松下尘"	"死人"	"Metonymy"	"唐 · 李白 《对酒忆贺监》诗之二：“昔好盃中物，今为松下尘。”"
"DD-0382"	"宿草"	"死亡多时"	"Metonymy"	"清 · 陆以湉 《冷庐杂识·初三月》： “今二君已皆宿草，回溯前尘，恍如春梦。”"
"DD-0383"	"躺"	"死"	"Metaphor "	"《二十年目睹之怪现状》：先母躺了下来, 还是很热闹的。(Zhang 1996, p. 22)"
"DD-0384"	"天罚"	"父母丧亡"	"Metonymy"	"晋 ·  陶渊明 《祭程氏妹文》： “昔在江陵，重罹天罚。”"
"DD-0385"	"填沟壑"	"自己死去"	"Metaphor"	"宋 · 苏轼 《答王幼安书之三》： “若未即填沟壑，及见伯仲功成而归，为乡里房舍客，伏腊相劳问，何乐如之？”"
"DD-0386"	"跳黄浦"	"投水自杀"	"Metonymy"	"徐铸成 《报海旧闻》三四： “一夜之间，就有不少人倾家荡产、跳黄浦的。”"
"DD-0387"	"停床"	"死"	"Metonymy"	"《红楼梦：第一一四回》：“宝钗走到跟前，见凤姐已经停床。”"
"DD-0388"	"听蛐蛐儿叫"	"人死了，埋在野外的坟墓里了"	"Metonymy"	"那些老事儿呀，总是在脑子里转来转去，不了结，好像都不能踏踏实实地去听蛐蛐儿叫…… (Zhu 2018, p. 216)"
"DD-0389"	"停止呼吸"	"死亡"	"Metonymy"	"我们希望你永远停止呼吸。(BCC)"
"DD-0390"	"同归于尽"	"一同毁灭或死亡"	"Metaphor"	"清 · 姬文《市声：第十四回》： “只图自己安逸，那管世事艰难，弄到后来，不是同归于尽吗？”"
"DD-0391"	"童乌"	"聪明而早死的孩子"	"Metonymy"	"宋 · 苏轼 《悼朝云》诗：“苗而不秀岂其天，不使童乌与我玄。”"
"DD-0392"	"土埋半截"	"人年老或多病，不久就会死亡"	"Metonymy"	"他已经是土埋半截的人了，难不成还想把家当带进棺材里？(GC 2015)"
"DD-0393"	"土中人"	"死人"	"Metonymy"	"明 · 宋濂 《跋张孟兼文稿序后》： “伯温作土中人将二载，俯仰今古，不能不慨然兴怀。”"
"DD-0394"	"蜕壳"	"尸体"	"Metaphor"	"前蜀 · 贯休 《闻赤松舒道士下世》诗： “蜕壳埋金隧，飞精驾锦鸞。”"
"DD-0395"	"万古"	"死亡"	"Reversal"	"唐 · 裴羽仙 《哭夫》诗之二：“从此不归成万古，空留贱妾怨黄昏。”"
"DD-0396"	"亡"	"死亡"	"Metaphor "	"父母双亡。(GF 2014)"
"DD-0397"	"委化"	"死亡"	"Metaphor"	"清 · 袁枚 《随园诗话：卷十二》： “初十日，榜发，余获雋，而先生即於是日委化。”"
"DD-0398"	"萎绝"	"死亡"	"Metaphor"	"梁启超 《中国学术思想变迁之大势》第二节： “其道最不利於霸者，朝廷豪族，日芟而月锄之， 文 景 以降，殆萎絶矣。”"
"DD-0399"	"委离"	"死亡"	"Metaphor"	"宋 ·  李纲 《哭宗留守汝霖》：“驊騮竟委离， 冀北羣遂空。”"
"DD-0400"	"违世"	"死亡"	"Metaphor"	"《资治通鉴：后唐明宗天成四年》：“先王违世，兄为人子，初不临丧，可乎？”"
"DD-0401"	"委世"	"死亡"	"Metaphor"	"南朝 · 宋 · 颜延之 《宋文皇帝元皇后哀策文》：“太和既融，收华委世。”"
"DD-0402"	"萎谢"	"死亡"	"Metaphor"	"郭沫若 《沸羹集·怀董维键》： “人才养成了而未能竟其用，不甚受人珍惜而又萎谢，实实在在是一件可惜的事。”"
"DD-0403"	"违养"	"父母或尊长去世"	"Metonymy"	"明 · 章懋 《费太常小传》： “伯玉已登乡举而享年不久，既而父亦违养。”"
"DD-0404"	"萎折"	"死亡"	"Metaphor"	"清 · 曹寅 《哭东山修撰》诗：“斯人已萎折，癃惫空奚为。”"
"DD-0405"	"萎哲"	"有才智者之死亡"	"Metaphor"	"明 · 何景明 《方竹先生诔》：“风悲日冥，歼良萎哲。”"
"DD-0406"	"无常"	"死亡"	"Metaphor "	"一旦无常万事休。(GF 2014)"
"DD-0407"	"物故"	"死亡"	"Metonymy"	"凌大哥，你是说何姑姑和萧大侠已物故	了，他们是怎么死的？(BCC)"
"DD-0408"	"呜呼"	"死亡"	"Metonymy"	"《红楼梦：第十六回》：“自己气的老病发作，三五日光景，呜呼死了。”"
"DD-0409"	"呜呼哀哉"	"死亡"	"Metonymy"	"《老残游记：第十五回》：“谁知这个女婿去年七月感了时气，到了八月半边就一命呜呼哀哉死了。”"
"DD-0410"	"物化"	"死亡"	"Metaphor"	"一个彻底物化的人则是一个心灵已死亡或虽生犹死的人。"
"DD-0411"	"无疾而终"	"没有病就死了"	"Metaphor"	"医生说他没有痛楚，无疾而终。(BCC)"
"DD-0412"	"无禄"	"死亡"	"Metonymy"	"《尔雅．释诂下》：“崩、薨、无禄、卒……死也。”"
"DD-0413"	"无身"	"死亡"	"Metaphor"	"《三国志：蜀志：诸葛亮传》： “当此之时，亮之素志，进欲龙驤虎视，苞括四海，退欲跨陵边疆，震荡宇内，又自以为无身之日，则未有能蹈涉中原，抗衡上国者，是以用兵不戢，屡耀其武。”"
"DD-0414"	"西河之痛"	"丧子"	"Metonymy"	"后以西河之痛为悼人丧子的挽联。(GC 2015)"
"DD-0415"	"喜容"	" 人生前所画的肖像"	"Reversal"	"《西游记：第四十回》：“一壁厢传旨宣召丹青，写下唐师徒四位喜容，供养在金銮殿上。”"
"DD-0416"	"喜神"	"遗像"	"Reversal"	"《二十年目睹之怪现状》第七九回： “伯明亲自指挥督率，舖陈停妥，便向雅琴道：‘此刻可请老伯母的喜神出来了。’”"
"DD-0417"	"牺牲"	"为正义事业遇难身亡"	"Metaphor"	"为民族独立和解放而牺牲。(GF 2014)"
"DD-0418"	"遐举"	"死亡"	"Metaphor"	"晋 · 孙绰 《孔松阳像赞》： “於穆我后，含和体纯。行范乃祖，德冠縉绅，降迹垂化，泽侔三春。超然遐举，遗爱在民。”"
"DD-0419"	"下世"	"死亡"	"Metaphor"	"李氏夫人归国的时候，才二十二岁，恰好金氏夫人下世后，已经满了三年。(HDC 2010)"
"DD-0420"	"遐夷"	"死亡"	"Metaphor"	"元 · 姚燧 《中书左丞李公家庙碑》： “今復弃养太夫人，而身先朝露，於是遐夷，吾目不瞑泉下矣。”"
"DD-0421"	"显"	"旧美称去世的长辈亲属"	"Metaphor"	"《文选：曹植＜王仲宣诔＞》：“伊君显考，弈叶佐时。”"
"DD-0422"	"先"	"已故的"	"Metaphor"	"许地山 《无忧花》： “﹝壁上﹞一边挂着先人留下来的铁笛玉笙，一边却放着皮安奥与梵欧林。”"
"DD-0423"	"仙化"	"人死亡"	"Metaphor"	"宋 · 周密 《齐东野语·谢惠国坐亡》： “公燕居无他，忽报双鹤相继而毙，公喟然嘆曰：‘鹤既仙化，余亦从此逝矣。’”"
"DD-0424"	"限尽"	"死亡"	"Metaphor"	"《董西厢：卷二》：“性者，我也；身者，舍也。若当来限尽之后，一性既往，四大狼藉。”"
"DD-0425"	"仙去"	"死亡"	"Metaphor"	"我昨天就抽了高华教授的视频还没看完，人却已仙去。(BCC)"
"DD-0426"	"献身"	"死亡"	"Metaphor"	"为抗洪而献身。(GF 2014)"
"DD-0427"	"仙升"	"死亡"	"Metaphor"	"宋 · 无名氏 《安恭皇后上仙发引、黄钟羽导引》词： “金殿晚，愁结 坤寧 。天下母，忽仙昇。云山浩浩归何处，但闻空际綵鸞声。”"
"DD-0428"	"仙逝"	"死亡"	"Metaphor"	"他不抽烟、不喝酒，一直活到八十几岁才仙逝。(GC 2015)"
"DD-0429"	"仙游"	"死亡"	"Metaphor"	"《儒林外史：第八回》：“原来便是尊翁，怪道面貌相似，却如何这般称呼？难道已仙游了么？”"
"DD-0430"	"仙驭西驰"	"死亡"	"Metaphor"	"明 · 唐顺之《朝谒长陵》诗： “遗弓仙驭远，上食繐帷帐。”"
"DD-0431"	"香骨"	"美女的尸骨"	"Metonymy"	"唐 · 杜甫《石镜》诗： “冥寞怜香骨，提携近玉颜。”"
"DD-0432"	"香消玉殒"	"女子死亡"	"Metaphor"	"而对赵士程的负疚，也使唐琬终日难安，不久忧郁而香消玉殒。(BCC)"
"DD-0433"	"销沉"	"死亡"	"Metaphor"	"生命的确是像一朵火焰，来去无踪，无时不是动着，忽然扬焰高飞，忽然消沉将熄，最后烟消火灭，留下一点残灰，这一朵火焰就再也燃不起来了。(Zhu 2018, p. 240)"
"DD-0434"	"谢宾客"	"死亡"	"Metaphor"	"《儒林外史》第十回：“蘧公孙上前拜见，牛布衣説道：‘适才会见令表叔，才知尊大人已谢宾客，使我不胜伤感。’”"
"DD-0435"	"谢尘缘"	"死亡"	"Metaphor"	"清 · 洪昇 《长生殿·情悔》：“虽谢尘缘，难返仙庭。”"
"DD-0436"	"谢世"	"死亡"	"Metaphor"	"这下子棘手了，秘籍失踪，唯一知道秘籍下落的二位长老又已不幸谢世 。(BCC)"
"DD-0437"	"谢事"	"死亡"	"Metaphor"	"清 · 沉起凤 《谐铎：鬼妇持家》： “妇慨然曰：‘人一朝谢事，百凡都听诸后人。’”"
"DD-0438"	"薪尽火灭"	"死亡"	"Metaphor"	"空海大师于日本高野山薪尽火灭，时年62岁。(Zhu 2018, p. 246)"
"DD-0439"	"心脏停止跳动"	"死亡"	"Metonymy"	"我会爱你，直到我的心脏停止跳动。(BCC)"
"DD-0440"	"行将就木"	"人临近死亡"	"Metonymy"	"但是，她已经死去了。我已届行将就木之年，但只要我活在这世上一天， 就要为贝达报仇。(BCC)"
"DD-0441"	"星落"	"死亡"	"Metaphor"	"唐 · 方干《哭秘书姚少监》诗： “寒空此夜落文星，星落文留万古名。"
"DD-0442"	"杏殇"	"婴儿夭折"	"Metaphor"	"金 元好问 《清明日改葬阿辛》诗： “孟郊老作枯柴立，可待吟诗哭杏殤。”"
"DD-0443"	"星亡"	"死亡"	"Metaphor"	"北周 · 庾信 《崔訦神道碑铭》：“诸侯地裂，边将星亡。”"
"DD-0444"	"形谢"	"死亡"	"Metaphor"	"南朝 · 梁 · 范缜《神灭论》：“是以形存则神存, 形谢则神灭也。”"
"DD-0445"	"星陨"	"死亡"	"Metaphor"	"北周 · 庾信《周大将军闻嘉公柳遐墓志铭》：“智士石折，贤人星陨。”"
"DD-0446"	"凶耗"	"人死亡的消息"	"Metonymy"	"得此凶耗，震惊不已。(GF 2014)"
"DD-0447"	"凶问"	"死亡的消息"	"Metonymy"	"《挽沉骊英女士》诗：“积劳而致疾，突发未能痊。凶问播遐邇，听之泣涕涟。”"
"DD-0448"	"凶信"	"死亡的消息"	"Metonymy"	"凶信传来，她痛哭失声。(GF 2014)"
"DD-0449"	"凶折"	"短命而死"	"Metaphor"	"清 · 蒲松龄 《聊斋志异·林氏》：“卿万一能活，相负者必遭凶折。”"
"DD-0450"	"朽骨"	"死者"	"Metonymy"	"唐 · 李绅 《悲善才》诗：“闻道善才成朽骨，空餘弟子奉音徽。”"
"DD-0451"	"休息"	"死亡"	"Metaphor"	"唐 · 桑叔文 《淮南节度讨击付使田侁墓志》： “一朝休息，平生已矣。”"
"DD-0452"	"悬梁"	"上吊自杀"	"Metonymy"	" 老舍 《四世同堂》六七：“他觉得凄凉黯淡。他很想悬梁自尽。”"
"DD-0453"	"殉财"	"为钱财而死"	"Metaphor"	"《庄子：盗跖》：“小人殉财，君子殉名。”"
"DD-0454"	"殉道"	"为道义或某种主张而献身"	"Metaphor"	"章炳麟 《俱分进化论》： “基督教未行以前，如琐格拉底辈以身殉道，蹈死不顾。”(HDC 2010)"
"DD-0455"	"殉国"	"为保全国家而奉献生命"	"Metaphor"	"1940年2月23日在吉林濛江（今靖宇县）与日军作战中壮烈殉国 。(BCC)"
"DD-0456"	"殉教"	"为信仰的宗教而牺牲生命"	"Metaphor"	"郭沫若 《反正前后》第一篇六： “他们以殉教的精神在从事于救济国家、救济人类的事业。” (HDC 2010)"
"DD-0457"	"殉节"	"为保全志节而死"	"Metaphor"	"一代一代的爱国者，杀身成仁，舍生取义，为祖国捐躯，为民族殉节。 (BCC)"
"DD-0458"	"殉难"	"为正义事业遇难身亡"	"Metaphor"	"不幸殉难。(GF 2014)"
"DD-0459"	"殉情"	"为爱情而死;男女因爱情不能有圆满的结果而自杀"	"Metaphor"	"哪会想到痴心不已的妻子为他而殉情。(BCC)"
"DD-0460"	"殉身"	"牺牲生命"	"Metaphor"	"清 · 姚莹 《来孝女传》：“世有以殉身为愚孝者，观於来女，可爽然也。”"
"DD-0461"	"殉物"	"为追求物质利益而丧生"	"Metaphor"	"《庄子：让王》：“今世俗之君子多为身弃生以殉物，岂不悲哉！”"
"DD-0462"	"殉义"	"指为正义事业而献身"	"Metaphor"	"冯自由 《兴中会时期之革命同志》：“ 杨衢云尝在南非洲英属数埠创立兴中会……自杨殉义后，无人能知当时 南非洲 党务。”"
"DD-0463"	"殉职"	"在职人员为公务而牺牲生命"	"Metaphor"	"曹金鱼当场被撞，不幸因公殉职。(BCC)"
"DD-0464"	"厌代"	"死亡"	"Character Replacement"	"宋 · 范仲淹 《遗表》： “昨自明肃厌代之后，陛下奋权之初，首承德音，占预謤列。”"
"DD-0465"	"奄隔"	"死亡"	"Metaphor"	"宋 · 苏轼 《与程正辅提刑书之二十》： “老嫂奄隔，更此徂岁，想加悽断，然终无益。”"
"DD-0466"	"眼光落地"	"死亡"	"Metonymy"	"宋 · 洪迈 《夷坚支志甲：巴东太守》： “盖将亡时精神消散，所谓眼光落地者此歟？”"
"DD-0467"	"晏归"	"死亡"	"Metaphor"	"《前汉书平话》卷中： “戚夫人自思：‘高祖在日，如此欺负，若帝晏归，我子母每如之奈何！’”"
"DD-0468"	"咽气"	"死亡"	"Metonymy"	"他被打捞上来时，不幸已经咽气了。(GF 2014)"
"DD-0469"	"掩泉"	"死亡"	"Metonymy"	"明 · 高启《送安南使者杜舜卿还国应制》：“号册纔临境，容衣忽掩泉。”"
"DD-0470"	"厌世"	"死亡"	"Metaphor"	"清 · 周亮工 《祭王瑞芝太翁文》： “太翁厌世时，长公、季公依依在侧，哀礼备至。”"
"DD-0471"	"掩土"	"死亡"	"Metonymy"	"《西游记》第五六回：“老者道：‘我待也要送了他，奈何再无以次人丁，纵是不才，一定还留他与老汉掩土。’”"
"DD-0472"	"奄奄一息"	"濒于死亡"	"Metonymy"	"待老人的家人赶到时，老人已奄奄一息。(BCC)"
"DD-0473"	"仰药"	"服毒自杀"	"Metonymy"	"清 · 蒲松龄 《聊斋志异：卷十：葛巾》： “与其相思而病，不如仰药而死！”"
"DD-0474"	"瑶台倾"	"妻子死亡"	"Metaphor"	"清 · 蒲松龄 《聊斋志异·锺生》： “但夫人前世为妇不贞，数应少寡。今君以德延寿，非其所耦，恐岁后瑶臺倾也。”"
"DD-0475"	"一病不起"	"死亡"	"Metonymy"	"那老妈又是高年，船上早晚感冒些风露，一病不起。(GC 2015)"
"DD-0476"	"遗产"	"死者留下的财产"	"Metaphor"	"继承母亲的遗产。(GF 2014)"
"DD-0477"	"遗弓"	"死亡"	"Metaphor"	"南朝 · 梁 · 沉约 《齐武帝谥议》：“慕切遗弓，哀同遏密。”"
"DD-0478"	"遗骸"	"尸体"	"Metaphor"	"1977年，烈士遗骸隆重安葬于市郊梅岭。(BCC)"
"DD-0479"	"一瞑不视"	"死亡"	"Metonymy"	"我们都盼望他能够到南边来游一趟，谁知道在假期里他便一瞑不视了呢？(Zhu 2018, p. 262)"
"DD-0480"	"一命归西"	"死亡"	"Metaphor"	"现在，全世界的钞票对他都没有用了，日落之前，他就要一命归西。(BCC)"
"DD-0481"	"一命归阴"	"死亡"	"Metaphor"	"四个月后，爷儿俩先后一命归阴。(BCC)"
"DD-0482"	"一命呜呼"	"死亡"	"Metaphor"	"他受不了那么大的打击，没多久就一命呜呼了。(GC 2014)"
"DD-0483"	"遗弃"	"死亡"	"Metaphor"	"唐 · 元稹 《告赠皇考皇妣文》：“慈训备至，不肖乃立， 积 初一命， 稹 始奉朝，供养未遑，奄尔遗弃。”"
"DD-0484"	"遗容"	"死者的容貌; 遗像"	"Metaphor"	"遗容安详。大厅里悬挂着鲁迅先生的遗容。(GF 2014)"
"DD-0485"	"以身许国"	"为国家利益而准备去死"	"Metaphor"	"你我既食君禄，就当以身许国，宁可战死疆场，不可死于国法。(Zhu 2018, p. 263)"
"DD-0486"	"遗生"	"死亡"	"Metaphor"	"南朝 · 宋 · 刘敬叔 《异苑》卷六： “谦怪语曰：‘何不进耶？’对曰：‘遗生已久，无宜干突。’始悟是鬼。”"
"DD-0487"	"遗世"	"死亡"	"Metaphor"	"何况像我这样即将遗世之人，选婿当然并不十分苛求。(Zhu 2018, p. 263)"
"DD-0488"	"遗书"	"死者临死时留下的书信"	"Metaphor"	"枕头下有一封遗书。(GF 2014)"
"DD-0489"	"遗体"	"尸体"	"Metaphor"	"遗体告别仪式。(GF 2014)"
"DD-0490"	"遗像"	"死者生前的照片、画像"	"Metaphor"	"国父遗像。(GC 2015)"
"DD-0491"	"遗形"	"死亡"	"Metaphor"	"宋 · 梅尧臣 《长歌行》：“遗形得极乐，昇仙上玉京。”"
"DD-0492"	"易箦"	"病危将死"	"Metonymy"	"唐 · 柳宗元《衡州刺史东平吕君诔》： “廪不余食，藏无积帛，内厚族姻，外赒宾客，恒是悬磬，逮兹易箦，僮无凶服，葬非旧陌。”"
"DD-0493"	"遗嘱"	"死者生前或临死前留下的嘱咐"	"Metaphor"	"国父遗嘱。(GC 2015)"
"DD-0494"	"一命归天"	"死亡"	"Metaphor"	"我并不知道布切特被杀的详情，只知道他一命归天。(BCC)"
"DD-0495"	"隐化"	"死亡"	"Metaphor"	"唐 · 李白 《江夏送倩公归汉东序》： “先生六十而隐化，若继跡而起者，惟倩公矣。”"
"DD-0496"	"影"	"遗像"	"Metonymy"	"《红楼梦：第三十一回》：“老太太和舅母那日想是纔拜了影回来。”"
"DD-0497"	"影削"	"死亡"	"Metaphor"	"清 · 刘大櫆 《祭张十二郎文》： “呜呼，孰谓汝方在蒙养也，而忽焉影削，不保其向聚之形。天固将使汝若斯而已，不如无生。”"
"DD-0498"	"永别"	"死亡"	"Metaphor"	"谢有法同志虽然与我们永别	了，但他忠诚高尚的品德，无私奉献的革命精神永远值得我们学习。(BCC)"
"DD-0499"	"永辞"	"死亡"	"Metaphor"	"现在这些事已成过去，我也要永辞人世了。(BCC)"
"DD-0500"	"永隔"	"死亡"	"Metaphor"	"汉 · 祢衡 《鹦鹉赋》：“痛母子之永隔，哀伉儷之生离。”"
"DD-0501"	"永恒"	"死亡"	"Metaphor"	"走进永恒。(HDC 2010)"
"DD-0502"	"永绝"	"死亡"	"Metaphor"	"清 · 钮琇 《觚賸·溺妾入梦》：“不幸罹兹水厄，与君永絶。”"
"DD-0503"	"永诀"	"死亡"	"Metaphor"	"于是，她先走了。她想不到和丈夫一别，竟成永诀。(BCC)"
"DD-0504"	"永眠"	"人死"	"Metaphor"	"他已安祥永眠了！(BCC)"
"DD-0505"	"永迁"	"亡故"	"Metaphor"	"晋 · 潘岳 《哀永逝文》：“撤房帷兮席庭筵，举酹觴兮告永迁。”"
"DD-0506"	"永逝"	"死亡"	"Metaphor"	"先生遽然永逝。(GF 2014)"
"DD-0507"	"永远地闭上眼睛"	"死亡"	"Metonymy"	"在我从容就义之后, 我的眼睛将永远闭上。(BCC)"
"DD-0508"	"永蛰"	"死亡"	"Metaphor"	"三国 · 魏 · 曹植 《武帝诔》：“幽闥一扃，尊灵永蛰。”"
"DD-0509"	"永终"	"死亡"	"Metaphor"	"蔡东藩 《慈禧太后演义：第十五回》： “午后，大行皇帝大殓，十有九龄的天子至此永终。”(HDC 2010)"
"DD-0510"	"游岱宗"	"死亡"	"Metaphor"	"唐 · 白居易 《得景嫁殇邻人告违禁景不伏》： “纵近倾筐之岁，且未从人；虽有游岱之魂，焉能事鬼？” "
"DD-0511"	"尤讳"	"帝王等死亡"	"Metonymy"	"宋 · 司马光《资治通鉴：齐武帝永明八年》：“ 魏 家故事，尤讳之后三月，必迎神於西，禳恶於北，具行吉礼。” 胡三省 注：“尤讳，犹云大讳也。尤，甚也；死者，人之所甚讳也。”"
"DD-0512"	"有讳"	"死亡"	"Metonymy"	"《元朝秘史》卷十三：“皇帝涉歷山川，远去征战，若一日倘有讳，四子内命谁为主，可令众人先知。”"
"DD-0513"	"幽沦"	"死亡"	"Metaphor"	"唐 · 白居易 《哭诸故人寄元九诗》：“伟卿既长往，质夫亦幽沦。”"
"DD-0514"	"羽化"	"死亡"	"Metaphor "	"或则希望白日羽化，或则祷祝上登天堂。(HDC 2010)"
"DD-0515"	"遇难"	"因迫害或发生意外而死亡"	"Metonymy"	"不幸遇难。(GF 2014)"
"DD-0516"	"玉碎"	"死亡"	"Metaphor"	"我李自成宁为玉碎，不为瓦全。(HDC 2010)"
"DD-0517"	"圆寂"	"僧尼死亡"	"Metaphor"	"大概十多年前，这位禅师圆寂了。[http://www.360doc.com/content/17/0420/06/11742939_646996011.shtml]"
"DD-0518"	"远行"	"死亡"	"Metaphor"	"死亡仅仅是一次远行吗？[http://fo.sina.com.cn/xuefo/2018-06-12/doc-ihcufqih4866705.shtml]"
"DD-0519"	"云归"	"死亡"	"Metaphor"	"宋 · 苏轼 《过永乐文长老已卒》诗： “初惊鹤瘦不可识，旋觉云归无处寻。”"
"DD-0520"	"陨落"	"死亡"	"Metaphor"	"冰心《悼郭老》: “他并没有陨落，他永远不会陨落。”"
"DD-0521"	"云驭"	"死亡"	"Metaphor"	"清 · 孙枝蔚 《挽丁彼云》诗：“共拟雪帆趋大府，忽惊云驭向高天。”"
"DD-0522"	"与世长辞"	"死亡"	"Metaphor"	"他久病缠身，终于在昨日不幸与世长辞。(GC 2015) 先父已于去年与世长辞。(HDC 2010)"
"DD-0523"	"葬身鱼腹"	"淹死于水中"	"Metonymy"	"冯德英《迎春花》八：“不幸船遇强风骇浪，翻进沧海，全家葬身鱼腹。”"
"DD-0524"	"葬玉埋香"	"女子死亡"	"Metonymy"	"宋 · 叶庭珪《海录碎事：卷二一：政事礼仪部：冢墓门：葬玉埋香》： “隋开皇二年，渭州刺史张崇妻王氏铭文有深深葬玉，郁郁埋香之语。”"
"DD-0525"	"早世"	"人过早死亡"	"Metaphor"	"阮玲玉……幼年因父亲早世，便随母亲在一个姓张的大户人家帮佣。(Zhu 2018, p. 277)"
"DD-0526"	"早逝"	"死亡"	"Metaphor"	"英年早逝。(GF 2014)"
"DD-0527"	"札瘥"	"因瘟疫而死亡"	"Metonymy"	"明 · 归有光 《蠲贷呈子》： “当凶荒札瘥之餘，百姓嗷嗷，谓当以王命施惠，家赐户益之，犹不能济，而反从而浚削之，民命穷矣。”"
"DD-0528"	"札疠"	"因瘟疫而死亡"	"Metonymy"	"宋 · 苏轼《睡乡记》： “其土平夷广大，无东西南北，其人安恬舒适，无疾痛札疠。”"
"DD-0529"	"长没"	"老人之死"	"Metaphor"	"《国语：吴语》：“民之恶死而欲富贵以长没也，与我同。”"
"DD-0530"	"朝不保夕"	"形容情况危急"	"Metonymy"	"如今也算知道命危于晨露，朝不保夕。(BCC)"
"DD-0531"	"朝不虑夕"	"情况危急，不能作长远的打算"	"Metonymy"	"气息奄奄，人命危浅，朝不虑夕。(BCC)"
"DD-0532"	"朝露"	"少年而死"	"Metaphor"	"也许，这样一双眼睛原本就不属于尘世？于是，即使在她朝露一般短崭的生命中，这双眼睛也只是崭时属于她，她注定要被一堵穿不透的灰墙死死罩住。(BCC)"
"DD-0533"	"哲人其萎"	"贤者病逝"	"Metaphor"	"叶圣陶 《乡里善人》： “学人文人同声哀悼，‘泰山其颓，哲人其萎’的成语，在祭文挽联哀诗中随处露脸。”"
"DD-0534"	"阵没"	"在作战中死亡"	"Metaphor"	"《清史稿：礼志六》：“乾隆十三年，諭祀阵亡总兵任举、侍卫丹泰，旋令征金川阵没将士并入之。”"
"DD-0535"	"正命"	"人死亡"	"Metonymy"	"《野叟曝言》：“我年逾六十，貴居一品，子孫繞膝，得終正命，僥天之幸，至此極矣！”"
"DD-0536"	"正终"	"人老死在家"	"Metaphor"	"《穀梁传：定公元年》：“ 昭公之终，非正终也。” "
"DD-0537"	"陟"	"死亡"	"Metaphor"	"《周书：康王之诰》: “惟新陟王, 毕协赏罚。 ”"
"DD-0538"	"致命"	"可使生命丧失的； 牺牲生命"	"Metaphor"	"《论语：子张》：“士见危致命，见得思义。”"
